,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
63,26099,26589,26186,25698,25390,25162,24876,24562,24316,24564,25347,26760,29995,32448,35536,36634,36773,35983,35754,35039,34318,34012,33923,33954,34084,34029,34219,34459,34562,34795,35443,36551,37752,39068,40361,41480,42472,42222,41458,40527,39555,37744,35884,33827,31817,29894,27727,26439
64,26057,26205,25662,24837,24204,23790,23212,22819,22569,22772,23668,24933,28372,31358,34519,36124,36861,36949,37388,37141,36804,36791,36707,36537,36790,36747,36845,36437,36309,36090,36201,36811,37806,38958,40079,40598,41503,41487,40567,39576,39062,37397,35655,33585,31419,29467,27201,25875
65,25677,25944,25608,25132,24576,24398,23889,23381,23126,23249,24170,25566,28628,31239,34167,34886,34924,34265,34286,34083,33907,33842,33885,33875,34284,34279,34257,34211,34431,34611,34909,35969,37046,37846,38772,39479,40413,40611,39929,38811,38022,36706,35039,33203,31245,29545,27564,26493
66,26342,26697,26853,26350,26050,25978,25754,25455,25416,25737,26588,27878,30501,32809,35282,35867,36501,36560,36945,36804,37054,37262,37021,37157,37399,37196,36838,36127,35855,35654,35579,36311,37306,38157,39082,39534,40415,40318,39409,38047,36229,34434,32656,30922,28888,27349,25612,24607
67,24296,24569,24090,23271,22565,22332,21850,21564,21327,21211,21545,21905,23320,24172,25897,26938,28157,28698,29083,28912,28622,28166,27213,26655,26521,26480,26344,26376,26398,26626,27495,28205,29535,31334,33256,34971,36312,36870,36049,34784,34318,33385,32407,31560,30182,29162,27685,26694
68,26485,26836,26164,25660,25124,24633,24137,23620,23284,23110,23205,23426,24349,24822,25593,26052,27097,28085,29006,29898,30309,30267,29861,29309,28690,28421,27473,27128,26951,27108,27821,28971,30532,31952,33496,34775,36071,36727,36119,35224,34586,33282,31706,29961,28148,26573,24692,23644
69,23400,23982,23769,23262,22837,22630,22476,22098,22069,22298,23369,25025,28428,31390,34559,35269,35191,34680,34295,33658,32770,32327,32145,31990,32017,31830,31852,31924,32386,32778,33500,35150,37218,38794,39921,41003,42028,41987,41435,40360,38651,36792,34469,31987,29656,27554,25459,24193
70,23860,24134,23756,23121,22662,22476,22012,21879,21784,22048,23034,24311,27747,30776,34182,35733,37101,37512,38094,38312,38743,38958,38966,38999,39272,39062,38928,38324,37789,36913,35924,36471,37085,38080,39179,40019,40949,41675,40719,39782,38672,36926,34860,32604,30556,28713,26883,25309
71,24896,25207,24830,24234,23815,23597,23133,22539,22289,22527,23407,24794,28007,30688,33813,34651,34837,34505,34148,33716,33308,32902,32982,33101,33152,33079,33133,32964,33201,33271,33559,34818,36080,37547,38824,39477,40491,41028,40399,39301,38087,36597,34767,32572,30328,28340,26278,24888
72,24552,24877,24469,23799,23235,23111,22684,22279,22120,22154,23071,24406,27644,30395,33650,34810,35264,35030,35122,34766,33844,33283,32897,32360,32092,31510,31162,30862,30886,31135,31592,32890,34201,35710,37092,38044,38876,39705,39217,38374,37445,35993,34360,32612,30681,28724,26743,25633
73,25273,25611,25146,24558,23777,23357,22659,21907,21478,21368,22192,23349,26322,28816,31705,33031,33583,33618,33791,33614,33354,33048,32918,32916,32698,32595,32471,32139,31895,31640,31707,32256,33245,34617,35631,36405,37116,37826,37323,36470,35237,34130,33117,31894,30125,28688,26992,25950
74,25626,25526,24946,24349,23871,23556,23366,22884,22479,22190,22352,22650,23744,24564,26091,27310,29164,30538,31871,32174,32233,32153,32186,32104,31868,31590,31353,31119,31228,31104,31275,31512,31922,32850,33922,34355,34663,34866,34588,33682,32936,31654,30509,29445,28270,27190,25660,24824
75,24619,24822,24352,23612,22865,22563,22200,21652,21261,21363,21356,21828,22414,22901,23398,23313,23862,24310,25160,25439,25840,26001,26294,26489,26641,26685,26504,26594,26859,27429,28298,29448,31018,32880,34489,35595,36207,37280,37022,35899,35136,34053,32777,30955,29293,27863,25978,24928
76,24917,25457,25202,24843,24559,24361,24264,24022,23990,24218,25288,26860,29672,32543,35164,36056,36641,36611,36782,36491,36253,35865,35808,36119,36616,36567,36691,36533,36943,37077,37009,37554,38958,40404,41181,41615,42206,43025,42528,41672,40223,38892,37505,35342,33090,30946,29061,27913
77,27544,27840,27564,26952,26456,26268,25888,25471,25354,25491,26269,27631,30414,33242,36077,37159,37333,36966,36721,36278,35579,35232,35123,35056,35235,35265,35394,35269,35445,35268,35154,35957,37102,38300,39457,40195,40914,41632,41007,39751,38734,37107,35511,33329,31212,29332,27338,26103
78,25905,26218,25914,25251,24840,24493,24064,23704,23674,23988,24732,26279,29085,31813,34783,35851,36263,36126,36213,35686,35418,35013,34799,34523,34449,34069,33841,33539,33517,33377,33627,34397,35649,36734,37869,38542,39415,40542,40392,39159,38062,36149,34484,32407,30254,28396,26548,25304
79,26321,26440,25918,25140,24611,24245,23712,23115,22745,22484,22489,22755,23778,24512,25535,26588,28181,29693,31219,32215,32595,32563,32693,32900,33017,32986,33066,33128,33536,33855,34610,35282,37007,38264,38704,38445,37702,36990,36433,35764,34961,33631,32454,31049,29347,27938,26248,24960
80,24821,24981,24661,23810,23321,22839,22304,21799,21495,21617,22258,23286,25622,27456,29927,31483,33166,34226,34933,34754,34278,33639,33255,33155,33283,33469,33746,34051,34358,34783,35411,36060,37751,38942,39158,39307,39061,38449,37692,36806,35652,34551,33384,32009,30314,28770,27274,26030
81,25571,25775,25521,24802,24111,23608,23037,22464,22111,22086,22684,23434,25411,27096,29103,30639,32302,33731,34561,34817,34716,34496,34164,33861,33853,33777,33783,33708,33807,33645,34127,34717,35859,37023,37458,37167,36360,35352,34432,33481,32454,31295,30118,28651,27335,26256,24896,23784
82,23472,23703,23411,22604,22017,21897,21326,20848,20649,20631,20946,21427,22632,23627,25190,26540,28259,29952,30813,31249,31441,31400,31430,31928,32595,33235,33285,33123,32766,32486,32335,31951,31992,32105,31567,30938,30448,29927,29723,29345,28997,28238,27561,27032,26252,25468,24069,23325
83,23153,23440,23080,22508,21728,21411,20829,20330,19909,19740,19793,20160,21137,21542,22345,22846,24136,25549,27178,28618,29861,30730,31416,31778,32403,32603,32588,32313,32095,32028,32074,32551,33087,33649,34184,34053,33595,33004,32617,31996,31351,30577,29615,28397,27411,26312,25051,24225
84,23955,24344,24012,23617,23085,22877,22405,21835,21694,21817,22240,22961,24560,25770,27224,28347,29714,31207,32817,33922,34605,35003,34960,35120,35121,35164,34873,34765,34971,34877,34952,35535,36584,37650,38277,38099,37774,37077,35919,34946,34099,33014,31584,30368,28984,27535,26091,25157
85,24746,24841,24272,23508,22730,22465,21985,21522,21090,20987,21100,21476,22673,23225,24600,25563,26813,28102,29694,30629,31523,32072,32495,32453,32816,32786,32625,32431,32330,32385,32591,33202,34604,36061,36998,36588,35701,34743,34120,33218,32111,31146,29946,28740,27301,26353,25030,23995
86,23690,23885,23334,22610,21907,21390,20730,20412,19961,19672,19889,20082,20995,21393,22367,23076,24314,25700,27394,28553,29564,29895,30316,30467,30657,30646,30668,30643,30807,30751,31335,32329,34022,35568,36367,36329,36115,35737,34640,33291,32555,31394,30152,28959,27630,26753,25242,24205
87,23893,23984,23735,23171,22529,22168,21712,21191,20944,21034,21672,22519,24302,25748,27395,28497,29841,31125,32233,32362,32251,32113,32116,32101,31994,32133,32210,32163,32547,32945,33821,35054,36798,38804,39590,39591,39167,38480,37630,36939,36033,34984,33541,32076,30388,28805,27135,25988
88,25728,26040,25594,24859,24213,23808,23225,22944,22827,22751,23209,23940,25463,26741,28320,29454,30779,32158,33470,34162,34865,35124,35519,35487,35649,35478,35346,35435,35421,35556,35784,36019,37250,38695,39386,39009,38292,37344,36119,34814,33275,31854,30709,29318,28260,27530,26765,26257
st_dev,2113.520023,2133.244526,2152.541162,2170.067613,2229.995397,2299.476669,2351.736873,2356.918195,2386.80491,2449.727927,2597.024607,2903.01706,3680.754211,4653.639965,5677.627265,6009.709328,5799.108762,5368.342279,5106.723521,4861.424611,4599.63902,4523.493291,4491.651794,4488.347743,4552.5928,4563.761048,4608.576875,4611.959249,4624.057817,4562.72888,4454.63696,4429.422968,4334.063702,4147.176327,3920.772798,3678.023072,3577.1927,3618.422791,3685.053103,3755.632866,3680.218527,3520.6723,3264.103548,2931.81058,2661.833702,2407.281668,2223.875435,2131.311837
hour,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,
avg_stadard_deviton_hourly,2123.382274,,2161.304387,,2264.736033,,2354.327534,,2418.266418,,2750.020833,,4167.197088,,5843.668297,,5583.725521,,4984.074066,,4561.566156,,4489.999768,,4558.176924,,4610.268062,,4593.393348,,4442.029964,,4240.620015,,3799.397935,,3597.807745,,3720.342984,,3600.445414,,3097.957064,,2534.557685,,2177.593636,
avg_standard_deviation_pu,0.079783028,,0.082783383,,0.090064779,,0.096548365,,0.100785967,,0.109371786,,0.142402334,,0.173891049,,0.156984682,,0.136501483,,0.12562909,,0.124670853,,0.126857149,,0.129207277,,0.128339724,,0.121141774,,0.108943605,,0.092957521,,0.087470169,,0.093314534,,0.095903561,,0.090475135,,0.082906508,,0.079697551,
