,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
50,24949,24272,24223,24546,24537,24236,24028,23799,23771,23882,24190,24954,27575,30031,32841,33665,34100,33722,33477,33304,32995,32650,32136,32096,32254,31842,31426,30894,30676,30408,30219,30668,31385,32203,33160,33544,33456,33680,33301,33315,33475,33263,33005,32113,30718,29050,25886,24571
51,24719,23938,23697,23814,23608,23204,22849,22551,22370,22233,21994,22120,23148,24095,25484,26319,27336,27796,27929,27630,27566,27230,26897,26724,26417,26116,25569,24867,24356,23932,23760,23763,24545,25802,27231,28266,29133,29677,30108,30204,29994,29700,29547,29342,28561,27415,24708,23373
52,23607,22919,22754,22891,22728,22323,22040,21822,21554,21406,20999,21005,21563,21979,22483,22646,23150,23416,23702,23789,23685,23519,23401,23468,23483,23462,23101,22645,22475,22237,22210,22547,23568,24811,26340,27399,28292,29117,29441,29473,29552,29466,29534,29237,28137,26513,25735,24193
53,22324,21810,21700,21989,21930,21686,21410,21338,21385,21460,21815,22797,25600,28197,30393,30566,30624,30234,30069,29264,28288,27627,27174,26906,26760,26419,26112,25837,25756,25636,25634,26429,27491,28772,29865,30840,31349,31653,31754,31603,31474,31183,31307,31067,29684,27646,25593,24232
54,23089,22330,22216,22319,22139,21791,21562,21397,21392,21425,21731,22749,25317,27673,30009,30743,30963,29975,29294,28544,27700,27113,26552,26317,26083,25704,25362,25134,25100,25048,25212,26118,27202,28532,29702,30656,31464,32073,32268,32273,31754,31574,31814,31094,29501,27390,25528,24025
55,23099,22509,22254,22360,22161,21844,21604,21423,21444,21415,21777,22820,25398,27661,30185,31007,30966,30097,29728,28939,28167,27602,27278,26983,26770,26427,26088,25871,25935,26009,26272,27236,28308,29477,30216,30673,31471,32164,32597,32699,32399,32018,31913,31091,29493,27586,25083,23555
56,22831,22171,21889,21873,21741,21341,21122,21068,21065,21152,21445,22377,24918,27188,29647,30529,30594,29831,29285,28489,27583,26969,26649,26644,26819,26554,26303,26053,25919,25933,25983,26784,27723,28686,29592,30278,30707,31123,31468,31711,31637,31534,31337,30503,28906,26958,25624,24247
57,22595,21963,21573,21553,21501,21143,20755,20614,20420,20422,20850,21783,24092,26697,29579,31196,31990,31874,32143,32358,31940,31576,31313,31306,31458,31373,30899,30476,30250,30007,29913,30460,31295,31960,32585,32717,32769,32821,32446,32195,31929,31581,31260,30209,28741,27307,25194,23943
58,23010,22283,21989,21980,21759,21314,20940,20713,20520,20460,20321,20540,21673,22622,24277,25523,26965,27465,28151,28030,27803,27631,27511,27650,27805,27738,27446,26883,26625,26353,26215,26569,27346,28043,28948,29375,29368,29201,29298,29183,28853,28654,28795,28641,27787,26473,24354,23015
59,22890,22174,21802,21703,21382,20950,20564,20322,20122,19824,19466,19388,20070,20444,21278,22009,23063,23843,24404,24776,25104,25269,25554,25759,25768,25788,25670,25580,25542,25423,25846,26439,26973,27826,28890,29253,29300,29730,29958,29850,29734,29574,29441,28828,27805,26128,25635,24081
60,22044,21467,21221,21363,21172,20882,20667,20515,20479,20450,20923,21912,24546,26891,29283,30323,31122,31007,30770,30557,29895,29582,29372,29303,29071,28916,28752,28532,28602,28743,28755,29147,30148,30975,31626,32112,32259,32491,32747,32327,32135,31975,31602,30855,29253,27423,25736,24104
61,24010,22285,21971,21957,21685,21374,21143,20990,20958,20839,21192,22113,24488,26912,29108,29536,30034,29556,28653,28374,27721,27346,27154,27183,27288,27072,26829,26632,26511,26450,26582,27208,28143,29170,30178,30837,31279,31548,31569,31552,31363,31348,30854,30589,29433,27707,24960,23517
62,22897,22247,21907,21909,21577,21156,21032,20903,20951,20912,21224,22100,24507,26828,29279,29992,30073,29840,29671,29169,28634,28208,28086,28040,27889,27491,27121,26809,26672,26409,26441,27010,27853,28887,29708,30251,30730,31061,31258,31374,31155,30808,30463,29900,28557,26842,24861,23256
63,22404,21752,21410,21473,21208,20927,20646,20594,20591,20532,20889,21589,23872,26079,28501,29323,29277,29136,28913,28514,27815,27236,27010,26759,26583,26375,26131,25792,25705,25723,25782,26444,27398,28294,29195,29806,30080,30411,30661,30842,30556,30411,30275,29724,28326,26749,24927,23558
64,22018,21169,20871,20617,20398,20045,19919,19928,19865,19702,20155,21062,23539,25547,28034,29165,29709,29231,28952,28427,27791,27500,27412,27298,27321,27180,27057,26810,26655,26736,26946,27310,27806,28733,29511,29577,29780,29915,29913,29751,29503,29199,29093,28825,27852,26490,22772,21419
65,22337,21448,20952,20887,20588,20098,19753,19633,19524,19244,19186,19483,20431,21177,22397,23291,24167,24336,24570,24420,24116,23768,23599,23508,23282,22965,22725,22396,22335,22410,22569,23034,23942,24932,26061,26942,27478,27797,27630,27353,27155,26881,26624,26481,25590,24263,21753,20393
66,20420,19818,19414,19285,18798,18444,18127,17994,17747,17244,16974,16948,17224,17554,18324,19091,20345,21144,21875,22316,22650,22717,22734,22834,23159,23198,23086,22789,22391,22003,21777,21619,22127,22927,23539,23878,24173,24315,24638,24564,24542,24697,24906,24894,24370,23266,23832,22542
67,19075,18467,18009,17914,17520,17191,16963,16935,16922,16583,16736,17085,18099,18740,19672,20477,21623,21919,22615,22764,23189,23036,23178,23484,23916,23666,23689,23364,23107,22961,23273,23435,24495,25672,26945,27815,28290,28502,28689,28617,28394,28287,27997,27620,26995,25707,25569,24137
68,21467,20714,20323,20329,20021,19762,19566,19502,19414,19339,19724,20671,22861,24662,26927,28232,29353,29626,29955,29677,29670,29393,29229,29143,28943,29007,28799,28561,28251,27865,27826,28160,28501,29142,30225,30853,31160,31553,31594,31507,31127,30785,30574,30217,29292,27617,24279,22554
69,22856,22152,21767,21713,21448,21153,20778,20593,20516,20254,20636,21416,23586,25403,27671,29072,30204,30544,30822,30813,30788,30682,30705,30729,30905,30814,30834,30809,30848,30787,31087,31437,31842,32656,33145,33515,33785,33743,33454,32982,32086,31429,30699,29424,28000,26280,24710,23179
70,21328,20429,19977,19698,19280,18852,18558,18363,18179,18163,18475,19111,21281,23304,25139,26468,27532,27856,28056,27787,27372,27287,27232,27250,27430,27279,27425,27390,27242,27355,27597,27973,28566,29380,29801,30367,30711,30921,30841,30857,30467,29966,29931,29580,28446,26730,23522,22204
71,22209,21285,20800,20758,20436,20103,19811,19611,19761,19572,19866,20559,22660,24367,26820,28047,29079,29688,29697,29561,29502,29724,29706,29430,29096,28497,27833,27164,26486,25825,25834,25635,25836,26188,26790,26999,27416,27667,27776,27935,27557,27070,26961,27037,26382,24876,23716,22398
72,21097,20407,20158,20120,19907,19586,19378,19368,19267,18828,18939,19095,20015,20844,21957,22656,23447,23713,24129,24070,23960,23761,23441,23319,23124,22860,22479,22262,22190,22133,22445,22844,23692,24594,25657,26215,26786,27090,27031,26999,26698,26627,26696,26298,25974,25241,20975,19613
73,21385,20603,20038,19848,19413,19023,18616,18329,18036,17398,17131,17066,17372,17701,18341,19076,19930,20218,21386,21989,22763,22947,23027,23158,23329,23098,22808,22738,22888,22817,22824,23168,23321,23534,23623,23907,24156,24336,24412,24374,24576,24721,24519,24469,23906,22721,24920,23552
74,18501,17882,17431,17425,17268,17058,16871,16978,16923,16946,17500,18434,20823,23064,25585,26404,26914,26841,26603,26184,25926,25790,25952,26039,25876,25777,25494,25181,25367,25319,25466,25748,27147,28176,28727,29319,29820,30092,30225,29894,29721,29813,29629,29120,28137,26576,24979,23383
75,22394,21674,21415,21299,21071,20720,20521,20380,20458,20311,20870,21901,23916,25990,28836,30167,31186,30728,30833,30739,30853,30814,30902,31061,31396,31543,31593,31737,31527,31517,31882,32377,32862,33101,33321,33316,33096,33114,33061,32771,32012,31370,30801,30066,28704,26776,25494,23886
76,21955,21161,20629,20428,20047,19754,19538,19470,19447,19222,19627,20576,22946,25355,27823,28945,29476,29337,29541,29410,28862,28785,28823,28782,28973,28890,28615,28420,28665,28697,28908,29396,30379,31227,32054,32297,32250,32358,32361,32295,31954,31365,30974,30177,29051,27398,24943,23354
77,22627,21999,21567,21405,21108,20739,20509,20379,20295,20074,20487,21475,23941,26081,28122,28945,29080,28674,28759,28379,27848,27888,27902,27710,27682,27529,26982,26396,26258,26123,26039,26438,27144,28035,28861,29256,29608,30107,30273,30377,29997,29541,29401,29193,28302,26765,24471,23050
78,22126,21291,20894,20724,20459,20125,19866,19909,19855,19632,20121,20994,23195,25257,28192,29580,30588,30574,30853,31097,31202,31263,31238,31609,31582,31237,31062,30440,30087,29625,29417,29815,30276,30809,31150,31379,31471,31565,31154,30619,30070,29601,29004,28603,27446,26222,23269,21890
79,21698,20647,20046,19907,19311,18872,18780,18564,18526,18127,18195,18312,19343,20122,21546,22458,23855,24484,24990,25181,25320,24997,24832,24717,24462,24095,23649,23219,22847,22538,22561,22799,23415,24221,25097,25701,26111,26522,26598,26657,26442,26213,26175,25918,25559,24654,23886,22359
80,20906,20152,19667,19466,19100,18806,18523,18400,18279,17615,17661,17708,18014,18503,19031,19582,20554,21302,21984,22135,22751,23188,23261,23348,23330,23113,23246,23202,23143,23201,23622,24164,24843,25708,27003,27360,27607,27650,28217,28247,28065,27798,27633,26976,26780,25580,23858,22237
