,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
46,21254,20574,20066,19801,19447,19185,18977,18932,18940,19182,19621,20240,22122,23937,25961,27162,28281,28669,28830,28663,28537,28346,28309,28086,28005,27618,27244,27118,27228,27234,27116,27343,27692,28634,29266,29589,30050,30302,30297,30119,29676,29549,29603,28575,26898,25301,23589,22125
47,20918,20269,19830,19468,19077,18685,18539,18547,18684,18783,19299,19864,21846,23585,25753,27011,27979,28020,28211,27812,27382,27123,27283,27149,27183,26885,26746,26334,26287,25989,26187,26373,26815,27484,28404,28953,29307,29703,29799,29758,29379,28951,29215,28407,26960,25384,23975,22523
48,21378,20683,20160,19948,19671,19363,19232,19186,19318,19479,20022,20552,22616,24503,26685,27861,28804,29040,29098,28503,28144,28249,28405,28402,28540,28336,28160,27903,28083,28305,28512,28783,29318,30126,30636,30712,30739,31010,31072,31047,30640,30612,30376,29244,27254,25546,23791,22257
49,20999,20298,19611,19354,19136,18854,18512,18382,18371,18413,18856,19632,21555,23211,25391,26852,28183,28652,29092,28726,28271,27914,27695,27506,27610,27310,26784,26785,26643,26660,26831,27151,27643,28112,27945,28769,28634,28568,28600,28175,27661,27765,27899,27155,25955,24317,22849,21596
50,20421,19492,18984,18637,18165,17716,17522,17496,17373,17371,17591,17436,18320,18911,20101,21050,22229,23144,23674,24038,24281,24330,24457,24276,23948,23333,22675,21994,21687,21444,21148,21040,21779,22557,23645,24193,24479,24583,24490,24330,24327,24354,24422,23722,23047,21979,20487,19445
51,18496,17753,17173,16863,16626,16294,16012,15887,15848,15954,16150,16061,16681,17129,17945,18562,19575,20207,21242,21955,22619,22847,23122,23188,23478,23417,23209,22874,22669,22706,23151,23684,24463,25180,26090,26588,26893,27002,26884,26699,26564,26652,26751,25960,25192,23871,22455,21315
52,20238,19558,19216,19003,18811,18637,18523,18490,18603,18897,19697,20403,22508,24417,26638,28218,29400,29930,29818,29170,28806,28829,28622,28718,29024,28869,28686,28351,28060,27898,27797,27802,28042,29032,30045,30513,30489,30895,30642,30663,30253,30171,30301,29264,27760,26210,24397,22895
53,21756,21063,20589,20468,20186,19767,19682,19541,19633,19850,20527,21145,23019,24748,26661,27853,28782,28802,28631,28347,27837,27820,27686,27776,27729,27564,27200,26993,26659,26577,26699,26930,27337,28211,29169,29817,30191,30506,30696,30466,30100,30382,30166,28781,28047,26588,24799,23316
54,22100,21355,20914,20677,20301,19915,19787,19768,19790,20037,20527,21339,23408,25172,27518,29066,30639,31244,31619,31779,32124,32152,32255,32495,32773,32577,32360,32017,31895,31740,31585,31774,31856,32490,32978,33387,33220,32860,32448,32085,31702,31510,31046,29360,27693,25811,23844,22334
55,21374,20551,19988,19493,18917,18663,18550,18432,18514,18517,19087,19744,21762,23412,25542,26878,27730,27790,27632,27220,26694,26072,25794,25794,25803,25381,24834,24322,24260,24379,24675,25016,25874,27160,28234,29060,29498,30010,30259,30377,30257,30602,30487,29099,27853,26121,24070,22642
56,21384,20856,20316,19968,19620,19273,19055,18965,18917,19025,19611,20066,21772,23405,25551,26944,28292,29024,29522,29520,29630,29718,29810,29882,29925,29713,29413,29001,28811,28733,28335,28313,28807,29247,29885,29963,30038,29674,29303,28850,28440,28344,27920,26768,25305,23990,22309,21017
57,19906,19159,18538,18244,17794,17374,17119,17091,17046,16996,17226,17340,18319,19186,20300,20972,21830,22145,22452,22397,22332,22215,21860,21358,20798,20332,19758,19012,18724,18425,18535,18872,19937,21124,22581,23904,24456,24957,25195,25271,25210,25726,25394,24551,23469,22563,21238,19999
58,19127,18516,17956,17656,17291,16966,16732,16664,16559,16448,16596,16629,16968,17473,18156,18885,19814,20280,20789,21014,21114,20789,20771,20386,20248,19795,19080,19053,19069,18975,19174,19721,20860,21631,22855,23714,24361,24821,25182,25449,25584,25651,25417,24665,23980,22549,20861,19679
59,18730,18163,17777,17632,17367,16972,16832,16790,17001,17245,18201,19016,21156,22754,25028,26318,27582,27628,27675,27490,27137,26834,26660,26348,26236,26307,26179,25971,25800,25611,25756,25863,26338,27541,28506,29175,29969,30271,30324,30227,30105,30113,29707,28549,27162,25292,23411,22054
60,20904,20252,19864,19584,19352,19073,18909,18789,18967,19281,20174,21072,22729,24776,27047,27966,29031,29188,29160,28669,28159,27914,27903,27795,27821,27589,27227,26777,26624,26515,26474,26930,27652,28892,30099,30728,30963,31403,31663,31503,31424,31865,31204,29918,28314,26494,24654,23129
61,21925,21267,20763,20529,20235,19969,19709,19452,19478,19633,20364,21212,22978,24676,26891,27931,28652,28800,28972,28894,28191,27592,27146,26849,26920,26739,26628,26429,26306,26475,26671,27122,27707,28797,29579,30067,30457,30465,30275,30245,30345,30491,29904,28145,26429,24621,22924,21696
62,20479,19892,19362,19242,18842,18466,18275,18126,18245,18537,19308,20149,22195,23862,26158,27217,27971,27941,27867,27355,26949,27148,27326,27400,27636,27442,27193,26953,26818,26690,26587,26944,27820,28788,29527,30234,30609,30521,30565,30548,30584,30939,30025,28628,27005,25435,23787,22490
63,21373,20595,20069,19649,19423,19105,18981,18934,19065,19120,19966,20742,22719,24425,26742,28117,29206,29439,29382,29010,28484,27928,27387,27170,26702,26209,25730,25323,25265,25260,25524,25946,26331,27317,28196,29074,29376,29559,29911,29633,29592,29793,29163,28112,27146,25717,24257,23008
